Name,Due Date,Link to search,Status,Industry,Company Size,Titles,Regions,,,,,,,,
Cleverex,2026-06-05,,Done,"Hospitals and Healthcare, Legal Services",11 to 50 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, CTO, CIO, COO, Head of IT, VP of IT, Director of IT, Head of Engineering, VP of Engineering, Director of Engineering, Head of Technology, VP of Technology, Director of Technology, Head of Operations, Director of Operations, VP of Operations",Sydney,,,,,,,,
Vastpro,2026-06-05,,Done,"Retail, Apparel & Fashion, Luxury goods and jwellery",11-5000,"CEO, Founder, Co-Founder, MD, Executive Director, Head of eCommerce, Vp of eCommerce, Director of eCommerce, CMO, Head of Marketing, 
VP of Growth, Director of Growth, Chief Growth Officer",India,,,,,,,,
MHXP,2026-06-05,,Done,"Real Estate, Construction, Commercial Real Estate",11-1000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of Sales, VP of Sales, Director of Sales, Chief Sales Officer, CMO, Head of Business Development, VP of Business Development, Director of Business Development, Chief Business Development Officer",India,,,,,,,,
Dean Infotech (Salesforce),2026-06-05,,Done,Logistics & Supply Chain,51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, Chief Sales Officer, Head of Sales, VP of Sales, Director of Sales",UK,,,,,,,,
Wondersoft,2026-06-05,,Done,"Consumer Electronics, Apparel & Fashion, Cosmetics, Retail",1-10000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of Store Operations, VP of Store Operations, Director of Store Operations","Kenya, Nigeria, Mauritius",,,,,,,,
Gumtree,2026-06-05,,Done,"Food, Restaurants, Hospitality",11 to 1000 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology",India,,,,,,,,
Cloudjournee,2026-06-05,,Done,"Finance, Retail, Media, Gaming",11 to 50 employees,"CEO, Founder, Co-Founder, MD, Executive Director, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, Head of Cloud, Vp of Cloud, Director of Cloud",United Kingdom,,,,,,,,
Deccanlogic (Video Intelligence),2026-06-05,,Done,Manufacturing,11 to 1000 employees,"CEO, Founder, Co-Founder, MD, Executive Director, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, COO, Head of Operations, VP of Operations, Director of Operations","Thailand, Vietnam, South africa",,,,,,,,
Deccanlogic (Agentic AI),2026-06-05,,Done,Logistics,11-500,"CEO, Founder, Co-Founder, MD, Executive Director, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, COO, Head of Operations, VP of Operations, Director of Operations","United Arab Emirates, south africa",,,,,,,,
Estisource,2026-06-05,,Done,Manufacturing,51-1000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CFO, Chief Procurement Officer, Head of Procurement, VP of Procurement, Director of Procurement, Head of Sourcing, VP of Sourcing, Director of Sourcing",India,,,,,,,,
IITR (Regular),2026-06-05,,Done,"Manufacturing, Construction",500-5000,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Talent Acquisition, VP of Talent Acquisition, Director of Talent Acquisition, CHRO, Head of HR, VP of HR, Director of HR",India,,,,,,,,
Mple.ai,2026-06-05,,Done,"Pharma, Insurance, healthcare",500 to 10000 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of L&D, VP of L&D, Director of L&D, Chief Learning Officer, CHRO, Business Unit Head, Business Unit Director",India,,,,,,,,
Startup Buddy,2026-06-05,,Done,"Retail, Management Consulting",11 to 50 employees,"CEO, Founder, Co-Founder, MD, Executive Director, Chief Financial Officer, Chief Compliance Officer, Chief Legal Officer","Delhi, Noida, Gurugram, Gurgaon, Bengaluru",,,,,,,,
Mobile Coderz,2026-06-05,,Done,"Travel, Logistics, Trasportation",51-500,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology",India,,,,,,,,
Testaing,2026-06-05,,Done,"Software development, Insurance, Retail",11-1000,"CEO, Founder, Co-Founder, Executive Director, MD, CTO, CIO, Head of Engineering, VP of Engineering, Director of Engineering, Head of Operations, Vp of Operations, Director of Operations, COO",India,,,,,,,,
Pradhi AI,2026-06-05,,Done,BFSI,51-1000,"CEO, Founder, Co-Founder, Managing Director, Executive Director",India,,,,,,,,
Seredium,2026-06-05,,Done,"Manufacturing, Pharma, Chemical",500-5000,"CEO, Founder, Co-Founder, MD, Executive Director, Head of Operations, Vp of Operations, Director of Operations, Head of Procurement, VP of Procurement, Director of Procurement, Plant Head",India,,,,,,,,
Digitattva,2026-06-05,,Done,Pharma,51-500,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Engineering, VP of Engineering, Director of Engineering",India,,,,,,,,
PACX.AI,2026-06-05,,Done,"Retail, Apparel & Fashion, Consumer Goods, Consumer Electronics",11-500,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of Supply Chain, VP of Supply Chain, Director of Supply Chain, Chief Procurement Officer",India,,,,,,,,
krishichakra,2026-06-05,,Done,"Restuarant, Hotel, Hospitality, Food",11-1000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Chief Procurement Officer, Head of Procurement, VP of Procurement, Director of Procurement, Head of Sourcing, VP of Sourcing, Director of Sourcing",India,,,,,,,,
Smoketrees,2026-06-05,,Done,Financial Services,51 to 500 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology",India,,,,,,,,
Smaitic - Retail,2026-06-05,,Done,Retail,11-1000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology","UK, South Africa",,,,,,,,
Smaitic - Logistics,2026-06-05,,Done,Logistics,11-1000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology","UK, South Africa",,,,,,,,
Elite Signs & Print,2026-06-05,New Project,Done,Hospitality,51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, CMO, Head of Marketing, VP of Marketing, Director of Marketing, Head of Facilities, Facilities Manager, Head of Events, Event Manager, Brand Manager, Events Director",UK,,,,,,,,
Tribyte,2026-06-05,,Done,"Education, e-learning",11-1000,"Vice Chancellor, Pro Vice Chancellor
Registrar, Dean Digital Learning, Dean Student Affairs, Director E-Learning, Director Online Education, Head of Learning Innovation, CIO, CTO, Head IT, Director IT, Dean Academics",India,,,,,,,,
Zhypility,2026-06-05,,Done,"Hospital and healthcare, Banking, Finance, Insurance",11-500,"Head of HR, VP of HR, Director of HR, Chief Human Resource Officer, Head of Learning, VP of Learning, Director of Learning, Chief Learning Officer","UK, Finland, Ireland",,,,,,,,
Deflytics,2026-06-05,,Done,"Pharma, Chemicals, Agriculture, Food Manufacturing, Consumer Goods, IT Services, Retail",500-5000,"CFO, Director of Financial Planning & Analysis, VP of Financial Planning & Analysis, Head of Finance, Finance Director, SVP Finance, VP Finance",Mumbai,,,,,,,,
Omangom,2026-06-05,,Done,"Retail, Apparel, Luxury Goods, Consumer goods, consumer electronics",11-1000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, Head of E-commerce, Director of E-commerce, VP of E-commerce","Mexico, Brazil, Chile, Argentina",,,,,,,,
Teemer tech,2026-06-05,,Done,"Pharma, Chemicals, Automotive, Food Manufacturing",51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Chief Procurement Officer, Head of Procurement, VP of Procurement, Director of Procurement, Head of Sourcing, VP of Sourcing, Director of Sourcing, Plant Head, Production Head","In-person CTA - Bengaluru, Chennai",,,,,,,,
G-square (Credit risk),2026-06-05,,Done,"Finance, Banking",11-1000,"Chief Risk Officer, Chief Financial Officer, , Head of credit risk, Director of credit risk, VP of credit risk, Director of Risk, Head of Risk, VP of Risk","Phillipines, Thailand, Malaysia",,,,,,,,
IITR (Healthcare),2026-06-05,,Done,Hospital and Healthcare,500-5000,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Talent Acquisition, VP of Talent Acquisition, Director of Talent Acquisition, CHRO, Head of HR, VP of HR, Director of HR",India,,,,,,,,
Securweave,2026-06-05,,Done,Defence & Space,11-1000,"CEO, Founder, Co-Founder, MD, Executive Director, Head of Information Security, VP of Information Security, Director of Information Security, CISO, CTO, CIO, Head of IT, VP of IT, Director of IT,  , VP of Technology, Director of Technology, eng, op",India,,,,,,,,
Sensel,2026-06-05,,Done,https://docs.google.com/spreadsheets/d/1PJs41FEuym0DthZZEMcuswZ4oRb5prkZ-62g6FslR7Q/edit?gid=0#gid=0,,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of Logistics, VP of Logistics, Director of Logistics, Chief Procurement Officer, Head of Procurement, VP of Procurement, Director of Procurement, Head of Sourcing, VP of Sourcing, Director of Sourcing",India,,,,,,,,
Cliqvenus - Talend (client list),2026-06-05,Client list,Done,"IDFC FIRST BANK
YBL
HDFC Bank
Kotak Bank
Dena Bank
Bank of Baroda
Axis Bank
Axis BI
BOI
Axis Securities
HDFC Ergo
KLI
ICICI PRU Life Insurance
ICICI Lombard
ABHI
RBL
Religare
Hathway
BALIC
Jio
RNLIC
RGI
SBI Cards
PNB",,"COO, CTO, CIO, SVP IT, SVP Business, Head - Card Payment product & merchant acquring services. Group CIO, VP of IT, GM IT, EVP and Head - Retail operations & services, AVP, Sr VP IT customer & distribution systems, Head of Applications, Head - Treasury & wholesale technology, head - Retail liabilities and wealth management, Head Digital Marketing, Head IT infrastrcture & software development, Head Business Technology, President IT program management",India,,,,,,,,
PREI Polar Engineering,2026-06-05,New Project,Done,"Oil & Gas, Power Generation",Revenue - 250- 500 crs,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Plant Head","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Delhi, Noida, Gurugram",,,,,,,,
No gap,2026-06-05,,Done,"Logistics & Supply Chain, Transportation, Warehousing",11 to 1000 employees,"COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, Head of Engineering, VP of Engineering, Director of Engineering, Head of Logistics, VP of Logistics, Director of Logistics, CTO, CIO",India,,,,,,,,
G-square (AI Offering,2026-06-05,,Done,"Banking, Finance, Insurance",11-1000,"CTO, CIO, Head of AI, CMO, Director of AI, VP of AI, Head of BI, Director of BI, VP of BI, Head of Analytics, Head of Analytics, Head of Analytics","Egypt, Philippines, Thailand, Malaysia",,,,,,,,
AYC,2026-06-05,,Done,https://docs.google.com/spreadsheets/d/1nI3NJaoMqRbZCRQh6wIsV8S1aWwFlUQb-alwFsd-6S0/edit?gid=0#gid=0,,"CEO, Founder, Co-Founder, MD, Executive Director, Business Development Head",India,,,,,,,,
Simplileap,2026-06-05,https://app.apollo.io/#/people?contactEmailStatusV2[]=verified&personTitles[]=CTO&personTitles[]=cio&personTitles[]=Head%20of%20Product&personTitles[]=Product%20head&personTitles[]=director%20of%20product&personTitles[]=director%20of%20infrastructure&personTitles[]=head%20of%20infrastructure&personTitles[]=Vp%20of%20infrastructure&personTitles[]=COO&personTitles[]=Head%20of%20Operations&personTitles[]=VP%20of%20Operations&personTitles[]=Director%20of%20Operations&personTitles[]=CIO&personTitles[]=Head%20of%20IT&personTitles[]=VP%20of%20IT&personTitles[]=Director%20of%20IT&personTitles[]=Head%20of%20Technology&personTitles[]=Director%20of%20Technology&personTitles[]=co-founder&personTitles[]=founder&personTitles[]=chief%20product%20officer&personTitles[]=product%20director&personLocations[]=Singapore&personLocations[]=United%20Arab%20Emirates&personLocations[]=Hong%20Kong&organizationNumEmployeesRanges[]=21%2C50&organizationNumEmployeesRanges[]=11%2C20&organizationNumEmployeesRanges[]=501%2C1000&organizationNumEmployeesRanges[]=1001%2C2000&qOrganizationKeywordTags[]=trading%20platforms&qOrganizationKeywordTags[]=Crypto%20Platform&qOrganizationKeywordTags[]=digital%20asset%20trading&qOrganizationKeywordTags[]=trading%20platform&includedOrganizationKeywordFields[]=tags&includedOrganizationKeywordFields[]=name&qNotOrganizationKeywordTags[]=software%20development&qNotOrganizationKeywordTags[]=Product%20engineering&qNotOrganizationKeywordTags[]=it%20services&qNotOrganizationKeywordTags[]=it%20services%20%26%20it%20consulting&excludedOrganizationKeywordFields[]=tags&excludedOrganizationKeywordFields[]=name&excludedOrganizationKeywordFields[]=social_media_description&sortAscending=false&sortByField=recommendations_score&page=1&recommendationConfigId=score,Done,,,,,,,,,,,,
Alpha ICT - India,2026-06-05,,Done,"Medical equiment manufactuing, medical device",11 to 1000 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of Engineering, VP of Engineering, Director of Engineering, Head of R&D, VP of R&D, Director of R&D, Manager of Operations, R&D Manager",IndiA,,,,,,,,
Tribyte,2026-06-05,,Done,,,,,,,,,,,,
Speedexam,2026-06-05,,Done,,,,,,,,,,,,
Unifab,2026-06-05,,Done,"Pharma, chemical",200-1000,"Chief supply chain officer, Head of Production, Director of Production, COO, Head of Operations, VP of Operations, Director of Operations, Chief Procurement Officer, Head of Procurement, VP of Procurement, Director of Procurement, Head of Sourcing, VP of Sourcing, Director of Sourcing, Head of Purchase, VP of Purchase, Director of Purchase, Head of Projects, VP of Projects, Director of Projects",India,,,,,,,,
Fitrofy,2026-06-05,,Done,"Dr. Reddy’s Laboratories
Sun Pharma
Glenmark Pharmaceuticals
Zydus Lifesciences
Alkem Laboratories
Lupin
Cipla
Torrent Pharmaceuticals
Biocon
USV
Mankind Pharma
Intas Pharmaceuticals
Aurobindo Pharma
Emcure Pharmaceuticals
Eris Lifesciences
Abbott India
Sanofi India
Novo Nordisk India
Eli Lilly India
Boehringer Ingelheim India
MSD India
AstraZeneca India
Bayer Zydus Pharma
Alembic Pharmaceuticals
JB Pharma
Ipca Laboratories
Wockhardt
Hetero Drugs
Macleods Pharmaceuticals
Ajanta Pharma",,"Founder, Co Founder, CEO, MD, Chief Medical Officer, Chief Clinical Officer, Chief Digital Officer, Chief Innovation Officer, Chief Technology Officer, Chief Product Officer, Chief Operating Officer, Chief Strategy Officer, Chief Growth Officer, Vp of Product, Head of Product, Director of Product, Vp of Operations, Head of Operations, Director of Operations",India,,,,,,,,
Idea Forge,2026-06-05,Use apollo,Done,"Adani Green Energy: https://www.adanigreenenergy.com/
ReNew Energy Global: https://www.renew.com/
Tata Power Renewable Energy: https://www.tatapowerrenewables.com/
JSW Energy: https://www.jsw.in/energy
ACME Solar: https://www.acme.in/
Avaada Energy: https://www.avaada.com/
Hero Future Energies: https://www.herofutureenergies.com/
Greenko Group: https://www.greenkogroup.com/
NTPC Green Energy (NGEL): https://www.ngel.in/
SECI (Solar Energy Corporation of India): https://www.seci.co.in/
UltraTech Cement: https://www.ultratechcement.com/
Shree Cement: https://www.shreecement.com/
Dalmia Bharat: https://www.dalmiabharat.com/
ACC Limited: https://www.acclimited.com/
Tata Steel: https://www.tatasteel.com/
JSW Steel: https://www.jswsteel.in/
Hindalco Industries: https://www.hindalco.com/
NMDC (National Mineral Development Corp): https://www.nmdc.co.in/
Adani Ports (APSEZ): https://www.adaniports.com/
JSW Infrastructure: https://www.jsw.in/infrastructure",,"COO, Head of Operations, VP of Operations, Director of Operations, Head of Security, VP of Security, Director of Security, Chief Security Officer, Head of Facility Management, VP of Facility Management, Director of Facility Management",India,,,,,,,,
Wyzmindz,2026-06-05,,Done,"Electrical & Electronics Manufacturing, Defense Manufacturing, Aerospace Manufacturing",51-1000,"CEO, Founder, Co-founder, Managing Director, Executive Director, Head of Operations, VP of Operations, Director of Operations, Head of Operations, VP of Operations, Director of Operations, Head of IT, VP of IT, Director of IT",India,,,,,,,,
New item,,,Done,,,,,,,,,,,,
BeReckon,2026-06-05,,Done,,,,,,,,,,,,
New item,,,Done,,,,,,,,,,,,
Reconzo,2026-06-08,,Done,"Retail, Apparel & Fashion, Health-Wellness-Fitness, Luxury Goods, Consumer Goods, Consumer Electronics",11-1000,"CEO, Founder, Co-Founder, Managing Director, Executive Director, CFO, Head of Accounts, VP of Accounts, Director of Accounts, Executive Vice President, Head of Finance, Director of Finance, VP of Finance, Finance Controller",India,,,,,,,,
Krishichakra,2026-06-08,,Done,"Restuarant, Hotel, Hospitality,",11 to 1000 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Chief Procurement Officer, Head of Procurement, VP of Procurement, Director of Procurement, Head of Sourcing, VP of Sourcing, Director of Sourcing",India,,,,,,,,
Enlink,2026-06-08,,Done,"IT Services, Banking, Financial Services, Insurance",200-1000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, CTO, CIO, Head  of Learning and Development, Director of Learning and Development, VP of Learning and Development","Bengaluru, Chennai, Hyderabad",,,,,,,,
Epinomi,2026-06-08,,Done,Manufacturing,51-1000,"CEO, Founder, Co-Founder, MD, Executive Director, Head of L&D, VP of L&D, Director of L&D, Chief Learning Officer, Head of HR, VP of HR, Director of HR, CHRO, Admin Heads, Procurement Head, Training Manager, Learning Manager",India,,,,,,,,
Powering Pursuit,2026-06-08,,Done,"Financial Services, Software",51 to 500 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology",India,,,,,,,,
Scintillate,2026-06-08,,Done,"Manufacturing, Pharma",51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Engineering, VP of Engineering, Director of Engineering","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Delhi, Noida, Gurugram",,,,,,,,
Sentinelwares,2026-06-08,,Done,Software,11 to 50 employees,"CEO, Founder, Co-Founder, MD, Executive Director, Head of IT, VP of IT, Director of IT, CISO, CIO, CTO, Head of Information Security, VP of Information Security, Director of Information Security","South Africa, Kenya, Ghana",,,,,,,,
SiSoc,2026-06-08,,Done,Logistics,51 to 1000 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of Engineering, VP of Engineering, Director of Engineering",India,,,,,,,,
Radiant Cash,2026-06-08,,Done,"Finance, Healthcare",51 to 1000 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Treasury, VP of Treasury, Director of Treasury, Head of Finance, Director of Finance, VP of Finance, CFO, Finance Controller",India,,,,,,,,
Safecure,2026-06-08,,Done,"Logistics & Supply Chain, Real Estate",501 to 1000 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of Facility Management, VP of Facility Management, Director of Facility Management","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Delhi, Noida, Gurugram",,,,,,,,
Enfin (Staff),2026-06-08,,Done,"Software Product, Telecom",51 to 500 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, CIO, CTO, Head of Operations, VP of Operations, Director of Operations, Head of Engineering, VP of Engineering, Director of Engineering, Head of IT, VP of IT, Director of IT",India,,,,,,,,
IITR,2026-06-08,,Done,Construction,500-5000,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Talent Acquisition, VP of Talent Acquisition, Director of Talent Acquisition, CHRO, Head of HR, VP of HR, Director of HR",India,,,,,,,,
Cliniops,2026-06-08,,Done,"Pharma, Biotech",51 to 200 employees,"CEO, Founder, Co-founder, Managing Director, Owner, Director of Clinical Data Management, Head of Clinical Data Management, 
VP of Clinical Data Management, Head of Clinical Operations, VP of Clinical Operations, Director of Clinical Operations",US,,,,,,,,
Indiquer,2026-06-08,,Done,hospital & health  care,11-50,"CEO, Founder, Co-Founder, MD, Executive Director, COO, CFO, Owner",US,,,,,,,,
Mple.ai,2026-06-08,,Done,"Pharma, Insurance, healthcare",500 to 10000 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of L&D, VP of L&D, Director of L&D, Chief Learning Officer, CHRO, Business Unit Head, Business Unit Director",India,,,,,,,,
Shreeyansh DB,2026-06-08,,Done,"Telecom, Fintech",11 to 50 employees,"CEO, Founder, Co-Founder, MD, Executive Director, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, Head of Infrastructure, VP of Infrastructure, Director of Infrastructure, CFO","Dallas, Seattle",,,,,,,,
Docuscan,2026-06-08,,Done,"Real Estate, Construction, Hospital & Healthcare",51-500,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of Admin, VP of Admin, Director of Admin, Chief Procurement Officer, Head of Procurement, VP of Procurement, Director of Procurement, Head of Sourcing, VP of Sourcing, Director of Sourcing",India,,,,,,,,
Mobile Coderz,2026-06-08,,Done,"Hospital & Healthcare, Retail",51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology",India,,,,,,,,
Cloud Journee,2026-06-08,,Done,"Finance, Retail, Media, Gaming",11 to 50 employees,"CEO, Founder, Co-Founder, MD, Executive Director, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, Head of Cloud, Vp of Cloud, Director of Cloud",United Kingdom,,,,,,,,
Radiant Insta,2026-06-08,,Done,"Retail Pharmacies, Hospital and Healthcare, Facility managemnet, Pharma",1-500,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Treasury, VP of Treasury, Director of Treasury, Head of Finance, Director of Finance, VP of Finance, CFO, Finance Controller, Owner",India,,,,,,,,
KFL,2026-06-08,,Done,Manufacturing,11 to 1000 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Operations, VP of Operations, Director of Operations, Head of Procurement, VP of Procurement, Director of Procurement, Chief Procurement Officer, Head of Sourcing, VP of Sourcing, Director of Sourcing","United Kingdom, Poland, Czech Republic, South Africa",,,,,,,,
BeReckon (BFSI),2026-06-08,,Done,"Banking, Finance, Insurance",51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations",India,,,,,,,,
Sterlite,2026-06-08,,Done,"Retail, appreal and fashion, luxury goods",11 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, Operations Manager, Technology Manager, IT Manager",US,,,,,,,,
HyperNeuron (Edtech),2026-06-08,,Done,E-learning,51-1000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of Customer Success, VP of Customer Success, Director of Customer Success",India,,,,,,,,
Navvyasa,2026-06-08,,Done,"Banking, Finance, Insurance",51-1000,"CEO, Founder, Co-Founder, MD, Executive Director, Head of HR, VP of HR, Director of HR, CHRO, Head of Talent Acquisition, VP of Talent Acquisition, Director of Talent Acquisition, Chief Talent Acquisition Officer","Delhi, Mumbai, Bengaluru, Gurgaon, Hyderabad",,,,,,,,
Linkworks,2026-06-08,,Done,Logistics,51-500,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Operations, VP of Operations, Director of Operations, Head of Supply Chain, VP of Supply Chain, Director of Supply Chain, Chief Supply Chain Officer, COO",US,,,,,,,,
Seredium,2026-06-08,,Done,"Manufacturing, Pharma, Chemical",500-5000,"CEO, Founder, Co-Founder, MD, Executive Director, Head of Operations, Vp of Operations, Director of Operations, Head of Procurement, VP of Procurement, Director of Procurement, Plant Head",India,,,,,,,,
Securweave,2026-06-08,,Done,"Aerospace, Airlines, Defence",11 to 1000 employees,"CEO, Founder, Co-Founder, MD, Executive Director, Head of Information Security, VP of Information Security, Director of Information Security, CISO, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology",India,,,,,,,,
HR Neeti,2026-06-09,,Done,Manufacturing,200-1000,"CEO, Founder, Co-Founder, MD, Executive Director, Head of HR, VP of HR, Director of HR, CHRO, Head of People, VP of People, Director of People, Chief People Officer, COO",India,,,,,,,,
Safesense,2026-06-09,,Done,Manufacturing,51 to 1000 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of Compliance, VP of Compliance, Director of Compliance, Head of Security, VP of Security, Director of Security, Head of Finance, VP of Finance, Director of Finance, CFO",india,,,,,,,,
Reality Premedia (AR/VR),2026-06-09,,Done,"Real Estate, Construction, Healthcare",200 to 1000 employees,"CEO, Founder, Co-Founder, MD, Executive Director, Head of Customer Experience, Director of Customer Experience, VP of Customer Experience, Head of Customer Success, CMO, Head of Marketing, VP of Marketing, Director of Marketing, Head of Growth, VP of Growth, Director of Growth, Chief Growth Officer",India,,,,,,,,
Divinisoft - GEN AI,2026-06-09,,Done,"Education, E-learning",11-500,"Dean, Director Placements, Head of Career Services, Director Learning & Assessment, FOunder, Co-founder, CEO","United arab emirates, South Africa, Saudi Arabia",,,,,,,,
Eservecloud,2026-06-09,,Done,"Logistics & Supply Chain, Hospitality, Financial Services, Retail",51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Delhi, Noida, Gurugram",,,,,,,,
Digitattva,2026-06-09,,Done,Pharma,51-500,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Engineering, VP of Engineering, Director of Engineering",India,,,,,,,,
Flairchase,2026-06-09,,Done,Hospitality,51-500,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of Talent Acquisition, VP of Talent Acquisition, Director of Talent Acquisition, Chief Talent Acquisition Officer, CHRO, Head of HR, VP of HR, Director of HR",India,,,,,,,,
Formcept,2026-06-09,,Done,"Banking, Finance, Insurance",51-500,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of Data, VP of Data, Director of Data, Chief Data Officer, Head of Engineering, VP of Engineering, Director of Engineering",US,,,,,,,,
